trial,type,wf,response,RT,correct,subj,length,delay,block
71,target,LF,1,0.68900001,1,0,Long,Delay,b2
72,target,LF,1,0.601000011,1,0,Long,Delay,b3
73,lure,HF,0,0.86500001,1,0,Long,Delay,b3
74,target,LF,1,0.648999989,1,0,Long,Delay,b3
75,lure,HF,0,0.880999982,1,0,Long,Delay,b3
76,target,HF,0,1.041000009,0,0,Long,Delay,b3
77,target,HF,0,0.68900001,0,0,Long,Delay,b3
78,target,HF,1,0.792999983,1,0,Long,Delay,b3
79,lure,HF,0,0.816999972,1,0,Long,Delay,b3
80,lure,HF,1,0.70599997,0,0,Long,Delay,b3
81,target,LF,1,0.856999993,1,0,Long,Delay,b3
82,lure,HF,1,0.713,0,0,Long,Delay,b3
83,lure,LF,0,0.833000004,1,0,Long,Delay,b3
84,lure,LF,0,0.856999993,1,0,Long,Delay,b3
85,target,LF,0,0.728999972,0,0,Long,Delay,b3
86,lure,LF,0,0.704999983,1,0,Long,Delay,b3
87,lure,HF,0,0.882000029,1,0,Long,Delay,b3
88,target,LF,0,0.728999972,0,0,Long,Delay,b3
89,target,LF,0,0.953000009,0,0,Long,Delay,b3
90,target,LF,0,0.86500001,0,0,Long,Delay,b3
91,lure,HF,0,0.760999978,1,0,Long,Delay,b3
92,lure,LF,1,0.760999978,0,0,Long,Delay,b3
93,target,LF,0,0.816999972,0,0,Long,Delay,b3
94,target,LF,0,0.841000021,0,0,Long,Delay,b3
95,lure,LF,0,0.753000021,1,0,Long,Delay,b3
0,target,HF,1,1.476999998,1,0,Short,Delay,b0
1,lure,HF,0,1.057000041,1,0,Short,Delay,b0
2,lure,LF,1,0.896000028,0,0,Short,Delay,b0
3,target,HF,1,0.927999973,1,0,Short,Delay,b0
4,lure,HF,0,0.824999988,1,0,Short,Delay,b0
5,lure,HF,0,0.880999982,1,0,Short,Delay,b0
6,lure,LF,0,0.921000004,1,0,Short,Delay,b0
7,lure,LF,1,0.888999999,0,0,Short,Delay,b0
8,target,LF,1,0.708999991,1,0,Short,Delay,b0
9,lure,LF,0,0.786000013,1,0,Short,Delay,b0
10,lure,HF,1,0.833000004,0,0,Short,Delay,b0
11,target,LF,1,0.745000005,1,0,Short,Delay,b0
12,target,HF,1,0.689999998,1,0,Short,Delay,b0
13,lure,HF,0,1.345000029,1,0,Short,Delay,b0
14,target,LF,1,0.721000016,1,0,Short,Delay,b0
15,lure,LF,0,0.68900001,1,0,Short,Delay,b0
16,target,LF,0,0.657000005,0,0,Short,Delay,b0
17,lure,HF,1,0.640999973,0,0,Short,Delay,b0
18,lure,LF,0,1.289000034,1,0,Short,Delay,b0
19,target,HF,0,0.816999972,0,0,Short,Delay,b0
20,target,LF,1,1.241000056,1,0,Short,Delay,b0
21,target,HF,1,0.633000016,1,0,Short,Delay,b0
22,target,HF,1,0.680999994,1,0,Short,Delay,b0
23,target,LF,0,0.976999998,0,0,Short,Delay,b0
0,target,HF,1,1.58099997,1,0,Short,Immed,b0
1,lure,LF,0,0.809000015,1,0,Short,Immed,b0
2,lure,LF,0,0.736999989,1,0,Short,Immed,b0
3,lure,HF,0,0.809000015,1,0,Short,Immed,b0
4,target,HF,0,0.792999983,0,0,Short,Immed,b0
5,target,LF,1,0.697000027,1,0,Short,Immed,b0
6,target,LF,1,0.697000027,1,0,Short,Immed,b0
7,target,LF,1,0.785000026,1,0,Short,Immed,b0
8,lure,LF,0,0.944999993,1,0,Short,Immed,b0
9,lure,LF,0,0.609000027,1,0,Short,Immed,b0
10,lure,HF,0,0.64200002,1,0,Short,Immed,b0
11,target,LF,1,0.665000021,1,0,Short,Immed,b0
12,target,HF,1,0.760999978,1,0,Short,Immed,b0
13,lure,LF,0,0.728999972,1,0,Short,Immed,b0
14,target,HF,1,0.842000008,1,0,Short,Immed,b0
15,target,HF,0,1.146000028,0,0,Short,Immed,b0
16,target,LF,1,0.848999977,1,0,Short,Immed,b0
17,target,LF,0,0.888999999,0,0,Short,Immed,b0
18,lure,LF,0,0.728999972,1,0,Short,Immed,b0
19,target,HF,1,0.856999993,1,0,Short,Immed,b0
20,lure,HF,0,0.745000005,1,0,Short,Immed,b0
21,lure,HF,0,0.768999994,1,0,Short,Immed,b0
22,lure,HF,0,0.816999972,1,0,Short,Immed,b0
23,lure,HF,0,0.680999994,1,0,Short,Immed,b0
0,target,LF,1,1.330000043,1,1,Short,Delay,b0
1,lure,HF,0,1.203999996,1,1,Short,Delay,b0
2,target,HF,1,0.716000021,1,1,Short,Delay,b0
3,target,HF,1,0.684000015,1,1,Short,Delay,b0
4,lure,HF,0,1.083999991,1,1,Short,Delay,b0
5,target,HF,1,0.658999979,1,1,Short,Delay,b0
6,target,HF,1,0.666999996,1,1,Short,Delay,b0
7,lure,LF,0,0.842999995,1,1,Short,Delay,b0
8,lure,HF,0,0.957000017,1,1,Short,Delay,b0
9,target,HF,1,0.749000013,1,1,Short,Delay,b0
10,target,HF,1,0.661000013,1,1,Short,Delay,b0
